"country","began","duration","area","magnitude","x","y"
"USA",38134,6,59888,6,-83.8,37.9
"USA",38129,5,117313,6,-90,42
"USA",38120,3,7787,4,-96.5,30.8
"USA",38107,2,18401,5,-97,32.1
"USA",38101,9,177019,6,-93.3,35.7
"USA",38074,15,30762,6,-98,48.2
"USA",38050,5,108614,6,-96,37.2
"USA",38051,3,70497,5,-83.8,37.8
"USA",37990,13,167998,6,-85.4,38.7
"USA",37980,2,257,3,-117.2,34.2
"USA",37944,4,213998,6,-79.3,38.9
"USA",37937,2,255,3,-118.3,33.9
"USA",37906,13,62961,6,-99.2,27.6
"USA",37882,7,171199,6,-78.4,37.3
"USA",37879,2,2826,4,-75.4,39.8
"USA",37865,9,32128,6,-86.6,39.7
"USA",37863,2,1169,4,-96.3,38.5
"USA",37859,1,5003,4,-115.9,34.3
"USA",37855,1,10537,4,-84.7,38.1
"USA",37829,5,13112,5,-150,63.9
"USA",37823,8,12173,5,-80.9,41.1
"USA",37807,17,150550,7,-86,39.8
"USA",37795,4,41057,5,-97.1,40.7
"USA",37794,7,18774,5,-81.9,27.3
"USA",37785,7,60615,6,-82.4,38.4
"USA",37766,6,17832,5,-78.5,37.2
"USA",37755,4,857,4,-87.7,46.6
"USA",37747,9,313673,7,-85.5,35.2
"USA",37746,2,4845,4,-83,38.3
"USA",37740,6,6719,5,-148.2,65
"USA",37718,4,83503,6,-88.7,32.3
"USA",37699,13,269997,7,-81.8,35.2
"USA",37697,5,30707,5,-104.7,47.7
"USA",37678,10,32682,6,-88,37.4
"USA",37674,2,82478,5,-80.7,37.7
"USA",37674,24,785575,7,-90.1,31.5
"USA",37667,4,42500,5,-82.3,37.7
"USA",37664,2,29456,5,-119,34.3
"USA",37625,5,1682,4,-147.2,64.7
"USA",37622,6,457678,6,-92.6,31.8
"USA",37618,4,20635,5,-124,40.2
"USA",37604,11,44627,6,-122.5,38.9
"USA",37583,3,1722,4,-151.5,59.9
"USA",37579,3,590,3,-147,64.5
"USA",37552,22,106239,6,-96,29.7
"USA",37553,5,13913,5,-150.9,60.3
"USA",37539,6,16618,5,-99.3,26.7
"USA",37539,3,11708,5,-89.9,34.6
"USA",37528,9,20039,5,-84,22.4
"USA",37525,4,31074,5,-90,29.9
"USA",37520,4,5644,4,-84.9,31
"USA",37505,14,97965,6,-96,29.7
"USA",37373,35,17605,6,-156.2,62.2
"USA",37462,3,2047,4,-80.7,37.2
"USA",37443,3,713,3,-101.7,41.1
"USA",37419,3,11377,5,-72.4,44.5
"USA",37415,22,47498,6,-95.9,47.3
"USA",37411,3,43981,5,-91,42.3
"USA",37406,3,5261,4,-77.2,42.8
"USA",37404,3,655,3,-75.9,41.2
"USA",37383,3,685,3,-157.4,59.4
"USA",37383,33,257338,7,-88.3,39.2
"USA",37378,7,19788,5,-82,37.5
"USA",37371,3,313,3,-99.3,32.7
"USA",37363,6,22335,5,-89.6,46.5
"USA",37282,3,656,3,-157.9,21.4
"USA",37279,7,87112,6,-85.7,35.7
"USA",37242,9,45273,6,-91.8,34.9
"USA",37223,10,132283,6,-89.9,35.2
"USA",37210,5,7734,5,-99.9,29.9
"USA",37106,2,19308,5,-83,37.1
"USA",37101,1,14007,4,-81.6,37.3
"USA",37089,2,1714,4,-84.6,39.5
"USA",37080,2,8534,5,-81.9,37.8
"USA",37048,8,32061,5,-93.7,29.8
"USA",37035,7,4096,4,-157.1,65
"USA",37017,2,246,3,-66.8,18
"USA",36996,31,63377,7,-90.5,42.7
"USA",36949,3,24,2,-90.3,41.5
"USA",36832,6,9655,5,-99.4,30.6
"USA",36832,2,87,2,-155.1,19.7
"USA",36821,2,314,3,-113.6,33.8
"USA",36614,3,24097,5,-99.9,33.7
"USA",36574,5,55643,5,-83.5,37.7
"USA",36490,3,18279,5,-124.1,45.2
"USA",36417,27,175233,7,-76.7,38.6
"USA",36345,2,29344,5,-92.8,50.3
"USA",36378,3,73291,5,-101.6,44
"USA",36343,23,56673,6,-94.4,43.8
"USA",36349,2,4317,4,-118.3,39.3
"USA",36339,8,263027,6,-97.1,37.7
"USA",36279,8,58491,6,-106.2,40.5
"USA",36251,14,9611,5,-97.2,48.8
"USA",36192,5,56744,5,-94.7,32.3
"USA",36164,7,21898,5,-83,40.1
"USA",36164,7,18265,5,-86.4,39.2
"USA",36156,4,105292,6,-121.5,45.7
"USA",36112,3,15178,5,-95.5,30.9
"USA",36098,2,50303,5,-95.4,36.7
"USA",36085,7,20713,5,-98.4,29.4
"USA",36074,2,6064,4,-94.2,39
"USA",36053,2,214764,6,-87,30.7
"USA",36049,4,60557,5,-92.6,29.7
"USA",36041,1,29739,4,-84.6,30.5
"USA",36034,3,42373,5,-77.4,35.1
"USA",36029,6,90195,6,-98.3,26.6
"USA",36011,3,54156,6,-88,42.2
