"country","began","duration","area","magnitude","x","y"
"Philippines",40484,4,15302,5,121.8,17.7
"Thailand",40461,37,3874,5,102.2,15
"China",40467,4,24954,5,109.8,19.2
"Russia",40467,4,7523,5,43.4,45.1
"Australia",40466,5,21255,5,144.3,-30.6
"Viet Nam",40466,7,109614,6,105.5,16.7
"Bangladesh",40452,12,29266,6,91,24.2
"Australia",40460,4,4896,4,151,-27.4
"Benin",40433,65,26789,6,5.3,4.9
"China",40455,9,3978,5,110,18.9
"Mexico",40452,6,23270,5,-92,18
"Viet Nam",40453,11,11137,5,105.3,16.8
"Indonesia",40453,5,31989,5,132.8,-1.2
"Jamaica",40441,11,6787,5,-77.3,18.2
"Uganda",40447,5,3304,4,32.7,1.3
"Thailand",40441,11,14080,5,100.3,14.4
"USA",40443,9,3873,5,-90.2,44
"Mexico",40439,13,98327,6,-87.6,14.4
"Canada",40446,4,45780,6,-126.7,50.9
"Taiwan",40439,3,6726,5,120.7,22.4
"India",40439,3,11290,5,87.8,25.7
"India",40439,13,38538,6,82.8,26.7
"Bangladesh",40430,22,7365,5,89.6,25.4
"Nigeria",40434,18,8695,5,4.5,12.8
"Chad",40405,34,38022,6,14.6,11.4
"Inda",40426,13,12556,5,92.2,26.2
"India",40422,17,15952,6,80.1,16.3
"USA",40428,5,15031,5,-97.1,28.9
"India",40426,24,10844,5,76,26
"Mauritania",40409,3,11046,5,-7.7,16.2
"Australia",40422,15,7093,5,143.3,-38.1
"Mexico",40405,53,14761,6,-92.2,17.9
"Sudan",40391,51,58589,7,29.1,9.9
"North Korea",40416,7,306,4,125,40.4
"Burma",40391,32,4327,5,95.5,20.9
"Niger",40391,41,619078,8,14,13.6
"USA",40400,2,8257,4,-93.5,42.3
"North Korea",40386,13,51189,6,125.7,39.6
"India",40396,3,145020,6,76.1,33.5
"China",40386,16,442536,7,100,37.8
"Germany",40386,13,45884,6,14,51.5
"Afghanistan",40386,8,176799,6,68.9,35.2
"Pakistan",40386,112,129692,7,73.3,33.4
"Burkino Faso",40380,5,160792,6,-1.4,12.9
"Saudi Arabia",40382,3,346153,6,41.9,21.5
"Viet Nam",40382,3,68319,5,106,22.1
"China",40382,12,1049485,7,111.1,31.6
"Indonesia",40382,3,106460,6,115,-2.1
"Nepal",40384,1,132629,5,84.8,28.4
"USA",40384,1,214908,5,-91,41.1
"China",40380,3,10513,5,114,22.7
"Pakistan",40380,3,14177,5,66.9,30.5
"Philippines",40371,4,34784,5,121.5,17.1
"Yemen",40369,6,176264,6,47.9,16.7
"Mexico",40360,14,68347,6,-100.5,25.6
"Sudan",40369,33,100439,7,36.7,18.7
"India",40371,3,192749,6,86.2,25.6
"China",40366,17,235548,7,115.9,29.1
"Japan",40371,2,78652,5,133.6,34.7
"Bangladesh",40360,13,24987,6,90,24
"China",40360,15,575176,7,113.2,28
"Saudi Arabia",40369,3,55999,5,41.2,20.6
"China",40365,8,396657,7,97.1,39.5
"Moldovo",40364,3,12206,5,28,46.8
"India",40364,11,147437,6,74.8,30.2
"Canada",40361,5,86590,6,-103.8,51.9
"Ukraine",40356,6,34504,5,24.8,48.6
"Mexico",40359,8,209025,7,-100.4,24.3
"Dominican Republic",40354,3,15732,5,-70.4,19.3
"Liberia",40354,3,183842,6,-7.2,6
"Taiwan",40354,3,1399,4,121.6,24.9
"Brazil",40351,9,320129,7,-37.8,-6.4
"Pakistan",40351,3,9326,4,72.1,36
"Bosnia and Herzegovina",40351,5,28642,5,17.7,44
"Romania",40351,21,56733,6,23.2,46.1
"Ghana",40351,5,150908,6,-1,7.9
"Myanmar",40344,12,94870,6,94,22.3
"France",40345,2,7700,4,6.6,43.5
"Spain",40340,3,6135,4,-6.2,43.4
"USA",40340,1,12235,4,-94.1,34.6
"Pakistan",40335,2,59029,5,67.9,25.1
"Hungary",40327,14,174970,6,19.8,49.7
"Philippines",40327,4,22340,5,125.3,6.8
"Canada",40327,3,25788,5,-97.8,49.9
"New Zealand",40323,7,25183,6,169.9,-45.2
"Guatamala",40316,7,68697,6,-89.6,14.1
"India",40316,7,63171,6,79.5,15.2
"China",40313,45,234213,7,115.5,26.4
"India",40313,43,23813,6,93.1,26.6
"Sri Lanka",40306,16,19208,5,80.6,6.8
"Czech Republic",40313,10,121759,6,19.6,49.8
"Pakistan",40306,16,6707,5,73.4,35.6
"Kenya",40306,17,196058,7,36,1.5
"Indonesia",40306,3,24519,5,122,-3.9
"Tajikistan",40304,3,23137,5,69.5,38.2
"Afghanistan",40302,11,65811,6,62.3,34.4
"Yemen",40303,2,38890,5,44.3,14
"USA",40299,4,79124,6,-87.3,36.1
"Indonesia",40284,17,103902,6,114,-2.7
"Namibia",40284,6,64628,6,23.2,-18.7
"China",40288,2,19904,5,111.1,25.1
"Cuba",40285,5,10658,5,-75.4,20.3
"India",40286,4,13472,5,91.9,26.3
"Serbia",40288,3,13990,5,21.7,43.5
"Somalia",40280,2,50278,5,45.8,2.8
"Bangladesh",40264,12,7063,5,89.5,22.2
"Brazil",40272,4,15006,5,-43.3,-22.4
"Rwanda",40263,6,8863,5,29.7,-1.7
"Latvia",40264,5,79653,6,24.8,56.7
"USA",40264,5,240302,6,-74.9,39.5
"Russia",40263,6,187689,6,37,53.3
"Indonesia",40261,3,149971,6,104.8,-4.4
"India",40261,3,16886,5,94.6,27.3
"USA",40247,15,1015176,7,-78.1,41.4
"Kazakhstan",40248,16,323847,7,79.2,45.1
"Angola",40238,31,274099,7,17.2,-16.1
"USA",40247,8,48983,6,-86.4,32.9
"Kenya",40244,58,40320,7,35,0
"Uganda",40244,6,75197,6,31.1,1.1
"Peru",40239,3,57890,5,-73.4,-11.8
"Serbia",40238,2,46897,5,21.1,44.5
"Ethiopia",40238,11,104208,6,45.5,9.2
"Zambia",40238,17,85512,6,27.7,-16.1
"Australia",40237,18,431682,7,148,-26.2
"Mozambique",40231,35,26372,6,34.3,-20
"Haiti",40237,3,3836,4,-73.8,18.4
"France",40237,3,30834,5,-1.5,46.8
"Spain",40232,2,98474,5,-4,39
"Portugal",40228,2,483,3,-17,32.8
"Peru",40219,8,305772,6,-78.3,-4.7
"Australia",40222,4,311949,6,149.6,-32.4
"Bulgaria",40222,8,87346,6,27.3,41.2
"Australia",40224,2,20652,5,152.8,-27.2
"Dominican Republic",40223,2,2791,4,-70.6,19.6
"Afghanistan",40214,6,105873,6,65.1,32.5
"Australia",40214,3,188865,6,145.2,-20.2
"Mexico",40204,19,122621,6,-99,19.9
"Bolivia",40205,10,292809,6,-66.5,-17.5
"New Zealand",40207,5,44179,5,178.1,-37.7
"South Africa",40205,3,87777,5,28.7,-24.7
"Mozambique",40203,4,72704,5,31.6,-25.6
"Peru",40203,6,135282,6,-72.9,-13
"Brazil",40188,19,55636,6,-44.1,-23
"USA",40196,5,103983,6,-121.5,37.4
"Egypt",40196,2,226051,6,31.1,28.1
"Bolivia",40179,13,102221,6,-63.6,-17.8
"Panama",40189,3,23338,5,-82.6,9.1
"Albania",40182,10,60173,6,20.1,41.5
"Australia",40179,13,301379,7,149.1,-31
"Kenya",40168,24,176699,7,36.5,1.2
"Brazil",40179,10,210052,7,-43.8,-21.8
"Italy",40168,7,40933,5,12.8,42.8
"Australia",40172,4,149318,6,151.8,-31.2
"Morocco",40172,2,157481,5,-6.8,31.8
"Tanzania",40172,3,167332,6,36,-6.8
"Peru",40167,2,172579,6,-75,-11.8
"Sri Lanka",40161,3,15649,5,81.3,8
"Fiji",40161,2,4709,4,177.9,-17.7
"USA",40159,4,314990,6,-86.5,32.5
"Saudi Arabia",40141,3,114601,6,40.2,21.2
"Malaysia",40138,7,37560,5,102.4,5
"Uruguay",40138,18,43485,6,-56.5,-31.3
"Sri Lanka",40138,2,920,3,79.9,7.1
"Turkey",40138,2,15625,4,40,40.8
"Singapore",40136,2,1051,3,103.8,1.4
"UK",40136,17,106622,7,-1.7,54
"Argentina",40131,9,415045,7,-59,-33
"Spain",40132,2,39816,5,-7.5,42.5
"Malaysia",40127,7,14486,5,101,5.7
"Tanzania",40127,4,194788,6,35.9,-6.8
"Brazil",40129,2,47897,5,-43.1,-22.5
"USA",40127,4,468142,6,-83.7,35.2
"India",40120,6,35725,6,77.8,11.5
"Thailand",40124,2,63931,5,99.9,7.5
"Australia",40124,3,98553,5,151.6,-30.4
"El Salvador",40124,3,5541,5,-89,13.8
"Mexico",40118,12,44315,6,-91,18.5
"USA",40118,3,14194,5,-3.1,55.7
"Philippines",40116,6,124932,6,107.7,14.9
"Paraguay",40112,3,163341,6,-56.3,-25.1
"Viet Nam",40109,4,28284,5,107.4,15.6
"Kenya",40106,9,197665,6,40.7,3
"Niger",40077,25,133560,7,8.1,17.2
"Nigeria",40106,7,53018,6,6.5,5.5
"Japan",40093,3,106326,6,138.2,36.4
"Nepal",40090,9,129718,6,80.8,29.8
"Philippines",40088,16,34499,6,121.4,17.6
"India",40081,18,309689,7,78.2,15.7
"Italy",40087,2,1227,4,15.7,38.1
"American Samoa",40085,1,207343,6,-173.5,-13.8
"Viet Nam",40084,4,49034,6,108,14.9
"Philippines",40081,7,25299,6,120.7,14.9
"Spain",40083,2,2459,4,-0.1,38.8
"Viet Nam",40081,4,47598,5,108,15.2
"USA",40077,8,225395,6,-84.8,34.4
"Mexico",40066,10,33561,6,-95.3,18.5
"Ghana",40073,5,73812,6,-1,8.9
"Indonesia",40071,2,47760,5,98.6,2.9
"Nigeria",40066,9,64201,6,5.7,12.3
"India",40062,5,25504,5,88.1,22.5
"Mexico",40057,10,34563,6,-99.2,19.5
"Philippines",40057,10,36441,6,121.4,17.2
"Turkey",40063,4,3687,4,29,41.1
"Mauritania",40035,24,81301,6,105.2,26.6
"China",40053,5,4814281,7,2.9,16.5
"Sudan",40041,7,59849,6,32.6,16
"Nepal",40041,7,13717,5,88.1,27
"Senegal",40049,3,8511,4,-16.8,14.6
"India",40043,10,72245,6,94.1,26.8
"India",40040,13,84898,6,80.7,27.6
"Sri Lanka",40040,2,4744,4,80.6,8.4
"Laos",40035,2,24950,5,104.8,17.8
"Pakistan",40040,3,30560,5,72.2,33.9
"USA",40029,2,6535,4,-85.7,37.1
"Sierra Leone",40034,2,11893,4,-12.7,8.6
"Japan",40034,2,18367,5,136.2,35.2
"Taiwan",40034,4,24906,5,121,24.3
"China",40032,4,30538,5,109.8,19.1
"Philippines",40032,2,24557,5,121.4,17.9
"India",40026,4,21199,5,85.5,26.5
"Philippines",40019,11,36975,6,125.4,7.7
"Turkey",40022,2,9641,4,38.1,40.7
"Nepal",40020,3,18727,5,85.7,28
"Japan",40020,2,9647,4,130.6,33.3
"China",40020,10,201114,6,101.2,30.9
"Turkey",40014,3,13171,5,38.2,40.7
"Japan",40014,3,11850,5,131.9,34.6
"Mongolia",40010,4,138926,6,101.9,47.8
"United Kingdom",40012,2,3359,4,-1.8,54.4
"Austria",40010,4,2765,4,15.7,47.4
"Pakistan",40011,3,10367,4,67.2,24.9
"Bosnia-Hercegovenia",40001,9,6061,5,17.5,44.9
"Philippines",40010,3,47244,5,121.3,17.1
"Myanmar",40006,6,136568,6,101.8,4.5
"India",40005,7,63616,6,74.7,15.3
"South Africa",40006,5,32700,5,18.9,-33.1
"Mexico",40008,3,51612,5,-97,16.4
"Ghana",40000,12,77547,6,-1,6.2
"Benin",39995,17,55064,0,2.4,8.3
"China",39995,6,542052,7,112.7,25.3
"India",39995,6,99877,6,84.8,20.2
"Bangladesh",39997,4,128962,6,93.8,27.5
"Vietnam",39997,4,49032,5,89.1,25.3
"Botswana",39943,53,69856,7,104.3,20.7
"Czech Republic",39985,8,571677,7,23.3,-16.7
"Austria",39983,6,47135,5,18,50.1
"Guatamala",39983,4,12251,5,14.7,48.4
"China",39983,4,127037,6,-88.6,13.4
"USA",39984,3,82900,5,110.3,26.8
"Cote d'Ivoire",39974,3,33319,5,-84.6,42.3
"Ghana",39984,3,10724,5,-4.2,5.6
"Bangladesh",39958,2,9340,4,-0.1,5.7
"Tajikistan",39923,26,27819,6,89.1,22.2
"Haiti",39948,7,13739,5,-81.2,29
"USA",39951,4,5754,5,-72.3,19.6
"China",39952,3,62469,5,71.3,38.5
"Australia",39952,10,201150,6,111.2,25.8
"Afghanistan",39944,3,68692,5,152.7,-29
"USA",39936,8,58894,6,64.4,34.9
"Philippines",39936,6,16459,5,-81.3,37.7
"USA",39934,38,21367,6,121.4,18
"Brazil",39925,23,484757,7,-142.3,65.4
"USA",39923,10,524373,7,-45.4,-3.2
"Indonesia",39920,11,6813,5,-95.5,29.7
"Burundi",39915,4,9797,5,116.9,-0.3
"Afghanistan",39909,25,11708,6,29.8,-3.3
"Canada",39904,9,88517,6,63.6,33.1
"USA",39909,4,20494,5,-67.6,47.2
"Australia",39902,2,82062,5,-85.2,30.8
"Zambia",39871,58,56501,7,151.3,-32.5
"Indonesia",39899,1,1148027,6,24.2,-18.8
"Indonesia",39902,2,19204,5,106.4,-6.6
"USA",39896,28,44401,6,100.7,-1.2
"Malaysia",39889,3,39742,5,-97,48.2
"Angola",39873,19,15411,5,114.7,4.3
"Mozambique",39876,6,187933,6,16.7,-17.1
"USA",39878,8,29982,5,32.2,-25.1
"South Africa",39872,4,94116,6,-91,41.7
"Indonesia",39867,15,56344,6,30.8,-29.4
"Bolivia",39856,12,21571,5,122,0.8
"Bosnia and Herzogovina",39845,16,167874,6,-62.6,-18.8
"Costa Rica",39849,12,20487,5,18.2,43.5
"Angola",39858,3,7232,4,-83.3,10.1
"Peru",39859,3,61812,5,14.1,-9.8
"Columbia",39859,3,85604,5,-74.4,-13.6
"Brazil",39856,5,72654,6,-76.5,4.4
"Solomon Islands",39856,5,109293,6,-47,-24.2
"USA",39853,2,117999,6,158.7,-8.1
"Argentina",39853,2,47812,5,-122.9,46.9
"UK",39851,6,225551,6,-64.3,-24.1
"Dominican Republic",39846,11,76952,6,-1.3,52.5
"Morocco",39845,12,15152,5,-70.1,19.3
"Philippines",39851,3,188227,6,-6.2,32.7
"Malaysia",39846,11,8473,5,123,9.9
"Indonesia",39841,6,52062,5,113.8,3.3
"Madagascar",39835,8,60609,6,120.3,-2.6
"Algeria",39839,2,207787,6,46.5,-17.7
"Australia",39839,33,132807,7,0.7,29.6
"Australia",39835,12,477524,7,120.6,-20.1
"Philippines",39839,2,427406,6,150.7,-29.4
"Brazil",39833,8,17181,5,125,7.1
"Domnican Republic",39821,9,1186391,7,-44.9,-16.6
"Romania",39836,4,14542,5,-70.1,19.3
"France",39836,4,19410,5,24.9,47.6
"Fiji",39821,9,173200,6,-2.6,42.2
"Vietnam",39807,12,7294,5,178,-17.7
"USA",39811,19,29579,6,107.1,16.9
"Malaysia",39811,22,35113,6,-123.8,42.8
"Australia",39810,16,76574,6,101.1,6.6
"Philippines",39816,11,776848,7,143.1,-17.1
"Mozambique",39810,23,36190,6,125,8.4
"Indonesia",39808,18,125967,6,34,-22.9
"USA",39808,3,126659,6,103.1,-3.3
"USA",39808,3,66257,5,-123.5,44.7
"Guyana",39792,8,313351,6,-89.5,41
"Columbia",39795,31,39998,6,-58.6,7.1
"UK",39795,2,195388,6,-74.2,9
"USA",39793,5,21322,5,-1.7,51.5
"Italy",39793,5,4905,4,-155.5,19.6
"Malaysia",39783,8,5424,5,13.2,41.8
"Thailand",39772,21,58097,6,101.8,4.9
"Philippines",39783,10,15655,5,100.1,7.6
"Italy",39783,4,24108,5,121.8,17.2
"Costa Rica",39778,3,2220,4,12.2,45
"Sri Lanka",39774,13,30824,6,80.8,8.6
"Brazil",39774,12,103384,6,-49.3,-25.1
"Venezuela",39772,4,61389,5,-66.4,9.8
"Australia",39772,4,105550,6,147,-21.6
"Philippines",39770,7,21766,5,121.4,18
"Vietnam",39769,4,36156,5,107.7,15.7
"Cuba",39769,4,35294,5,-76.2,20.7
"Australia",39771,2,183487,6,151.5,-30
"South Africa",39764,6,76454,6,20.9,-33
"Ethiopia",39768,5,25491,5,43.1,0.8
"USA",39758,7,75157,6,-122.8,47
"Kenya",39762,3,37963,5,35.1,0
"Somalia",39755,2,111939,6,43.5,1.3
"Viet Nam",39748,8,74591,6,106.3,20.7
"Morocco",39744,12,146721,7,-4.8,33.7
"Yemen",39744,2,133204,6,49.8,15.5
"Honduras",39740,25,96386,7,-89.3,15.9
"Vietnam",39740,2,39092,5,107.5,14.9
"Costa Rica",39731,25,39425,6,-86,11.5
"Kenya",39735,3,45128,5,41.9,4
"China",39731,7,29938,5,109.8,19.2
"Rwanda",39722,6,11140,5,29.9,-1.7
"Nicaragua",39722,6,13946,5,-86.4,12.1
"Sudan",39724,4,81576,6,29.7,9.2
"Algeria",39722,17,34762,6,3.5,32.2
"Mexico",39722,6,17013,5,-96.8,19.6
"China",39717,4,6853,4,108.7,21.9
"Guatamala",39718,2,16407,5,-89.3,15.7
"Vietnam",39716,5,58984,6,104.6,21.9
"Thailand",39702,24,165834,7,103.2,17.8
"Nepal",39713,8,168135,6,78.9,30.5
"India",39713,8,464318,7,84.4,21
"Puerto Rico",39712,3,1644,4,-66.6,18.1
"Taiwan",39705,2,4834,4,121.6,24.7
"USA",39703,5,652501,7,-90.5,35.1
"Iraq",39701,2,8574,4,45.1,36.2
"Iran",39700,2,26847,5,50.7,32
"UK",39697,3,47366,5,-1.8,53.3
"Malaysia",39696,3,127691,6,102.1,4.1
"Indonesia",39697,3,9851,5,122.5,0.7
"Haiti",39697,3,25886,5,-71.7,18.5
"India",39690,10,80590,6,94.6,27
"Bangladesh",39690,10,59249,6,90.2,25
"USA",39692,2,163438,6,-92.5,31.3
"Haiti",39686,3,33215,5,-72,18.9
"Chad",39649,37,61817,7,18.4,9.2
"Ethiopia",39680,9,69637,6,33.3,7.6
"USA",39680,9,98479,6,-82.9,29.7
"Nepal",39678,38,163726,7,84.9,27
"USA",39677,4,4188,4,-106,31.5
"USA",39677,2,385,3,-112.7,36.3
"Dominican Republic",39676,3,37960,5,-71.6,19.2
"UK",39675,2,23128,5,-7.2,54.5
"Thailand",39671,10,219466,7,103.7,17.3
"Pakistan",39669,12,165918,6,72.6,30.7
"USA",39669,3,136110,6,-96.3,37.8
"USA",39668,4,53271,6,-71.5,44.3
"India",39665,7,75488,6,81.4,16.7
"Viet Nam",39669,3,50045,5,105.2,22.1
"China",39668,4,8410,5,113.2,22.5
"China",39667,5,24615,5,101.5,22.6
"UK",39666,3,27718,5,-3.9,56.2
"Sudan",39667,2,155555,5,30.8,6.6
"Iran",39667,2,7096,4,44.7,39.2
"Togo",39661,8,66957,6,1,7.7
"Chad",39662,7,178994,6,15.5,9.3
"Pakistan",39662,3,32493,5,71.7,33.9
"Canada",39663,2,9315,5,-69,47.6
"China",39657,12,533930,7,114.4,32.6
"Japan",39657,2,52423,5,136.4,35.9
"Mali",39644,21,1089831,8,-3.2,13.3
"New Zealand",39659,2,26208,5,172.4,-42.2
"Canada",39659,2,160128,6,-58.5,52
"USA",39659,13,163706,7,-151,64.3
"Philippines",39657,2,61673,5,121,23.3
"India",39649,20,283806,7,89.8,27.5
"Ukraine",39651,9,55714,6,24.4,48.2
"Mexico",39650,9,457328,7,-102.8,29.8
"Liberia",39649,1,161605,5,-71.9,-39.1
"Chile",39640,10,33620,6,-10.2,6.2
"Taiwan",39647,1,17090,5,120.8,22.9
"Algeria",39644,2,193742,6,-98.1,21.4
"Mexico",39635,6,76328,6,6.2,35.5
"Indonesia",39638,2,89287,5,116.2,-1.7
"UK",39637,5,75684,6,-1.8,52.9
"South Africa",39633,4,21017,5,18.7,-33.1
"India",39634,10,426532,7,90.1,25.2
"Japan",39626,4,147152,6,137.2,35.5
"China",39623,4,373962,6,112.3,23.5
"Suriname",39600,25,62356,6,-55.7,3
"South Africa",39618,4,47128,5,29.9,-30.9
"Bangladesh",39619,3,57411,5,90.1,25.2
"Kenya",39612,8,40028,6,40.7,-2.1
"Philippines",39620,3,178346,6,123.3,11.6
"India",39610,23,79369,6,110.2,22.1
"China",39606,16,350564,7,91.5,25.2
"USA",39604,29,759750,8,-92.2,39.8
"Belize",39599,6,33638,5,-89.1,17.3
"France",39600,3,154307,6,8.9,48.1
"Sri Lanka",39597,8,40665,6,80.8,7.2
"USA",39592,13,337703,7,-88.4,37
"India",39592,5,62279,5,93.8,26.4
"Columbia",39595,2,35531,5,-74.1,6.6
"China",39595,10,144704,6,105.8,26.6
"Chile",39587,9,110526,6,-71.9,-35.9
"Philippines",39586,5,14849,5,120.6,17.1
"Russia",39580,14,595263,7,130.5,60.5
"Philippines",39578,9,26746,5,125,7.1
"Vietnam",39579,2,5301,4,107.8,12.1
"Algeria",39578,3,20669,5,5.8,35.8
"Burma",39571,20,81435,6,96,16.8
"China",39570,4,43959,5,113,30.9
"USA",39563,13,25490,6,-67.3,46.4
"Sri Lanka",39565,7,4936,5,80.4,6.7
"Canada",39564,6,3178,4,-82,52.2
"Australia",39562,4,999,4,152.5,-31.9
"Indonesia",39561,5,4197,4,95.8,4.6
"China",39558,4,20737,5,116.5,33.5
"Tanzania",39549,36,15131,6,36.5,-8.5
"Kenya",39558,3,237,3,34.5,-0.6
"Canada",39548,15,22896,6,-77.5,44.5
"Brazil",39537,24,1126558,7,-42.7,-5.4
"Kenya",39535,6,3972,4,35.2,-0.2
"Kenya",39524,20,50223,6,38.2,-3.4
"Indonesia",39517,25,80095,6,101.8,0.5
"Kenya",39527,14,21279,5,37.7,2.8
"India",39527,8,144329,6,78.7,10.8
"USA",39524,47,928710,8,-89.2,36.2
"Sri Lanka",39519,20,43223,6,80.8,7.8
"Colombia",39518,5,3994,4,-75.4,2.7
"China",39510,30,64010,6,106.7,39.4
"Malaysia",39512,10,36070,6,115,4.6
"Indonesia",39508,34,16854,6,112.4,-7.1
"Morocco",39504,3,23601,5,-7.1,32.1
"Iran",39460,17,108379,6,61.3,26.6
"Kazakhstan",39498,23,51582,6,68.6,42.3
"Indonesia",39489,20,10585,5,119.5,-9.7
"China",39479,25,17162,6,81.9,43.8
"Madagascar",39495,18,371875,7,46.9,-18.7
"Philippines",39490,30,41666,6,125.9,8.5
"Zambia",39487,83,438920,8,23.8,-15
"Indonesia",39492,30,10435,5,107.3,-6.3
"Australia",39491,14,44349,6,149.5,-22.5
"Indonesia",39486,5,403,3,114,-7.7
"USA",39484,7,118977,6,-86.8,40.9
"Peru",39482,94,709144,8,-73,-10.1
"Brazil",39480,6,291,3,-43.1,-22.4
"Indonesia",39479,6,378,3,106.8,-6.2
"Namibia",39478,84,164248,7,17.3,-17
"Ecuador",39477,93,75830,7,-79.7,-1.2
"Indonesia",39477,5,815,4,112.9,-7.7
"Argentina",39475,75,88121,7,-61.7,-22.9
"South Africa",39471,9,72006,6,30.7,-24.1
"UK",39462,12,55862,6,-1.6,52.9
"Afghanistan",39460,8,18279,5,64.3,31.3
"Australia",39461,19,649466,7,144.6,-20.4
"Brazil",39459,15,23023,6,-47.9,-24.5
"USA",39455,8,102263,6,-86.7,40.8
"Sri Lanka",39454,10,1918,4,81.8,6.9
"USA",39452,5,551,3,-119.2,39.6
"Australia",39450,7,41557,6,152.9,-28.4
"Indonesia",39449,5,2179,4,106.8,-6.2
"Zambia",39446,5,672970,7,27.8,-15.9
"Indonesia",39441,10,50690,6,111.3,-7.5
"Indonesia",39441,5,8856,5,100.6,-0.7
"Australia",39438,10,200535,6,148.2,-30.3
"Bolivia",39431,14,972454,7,-65.3,-17.7
"Zimbabwe",39435,15,100497,6,31.2,-20.8
"Indonesia",39433,8,1188,4,123.1,0.6
"Sri Lanka",39432,17,7954,5,81.4,7.7
"Mozambique",39427,24,354570,7,34.4,-19.1
"Zimbabwe",39429,22,13374,5,31.2,-16.7
"Kenya",39428,4,6216,4,38.7,-3.6
"Dominican Republic",39427,7,34786,5,-71,18.9
"Malaysia",39423,22,82566,6,102.9,3.9
"Australia",39417,17,285391,7,145.7,-26.9
"USA",39419,5,41684,5,-122.9,47.1
"Kenya",39407,26,6078,5,40.2,-2.2
"Serbia and Montenegro",39411,6,9141,5,20.8,42.8
"Algeria",39410,9,21397,5,3,36.7
"Philippines",39411,8,33590,5,122,17.1
"South Africa",39407,8,33387,5,21.8,-34
"Malawi",39404,10,1631,4,35.2,-16.8
"Philippines",39404,6,11140,5,124.8,8.8
"Greece",39402,17,52765,6,25.6,41.7
"Uganda",39401,4,552,3,32.6,0.4
"Bangladesh",39401,17,31642,6,90.2,22.6
"Papua New Guinea",39398,15,12652,5,149.2,-9
"Vietnam",39396,12,36818,6,108.4,15.3
"Somalia",39389,2,315,3,51,11.8
"Philippines",39390,3,25809,5,121.8,17.6
"Algeria",39385,4,102132,6,3.2,34.8
"Mexico",39383,35,35809,6,-92.4,17.7
"Vietnam",39383,13,35110,6,107.4,16.3
"Dominican Republic",39383,14,89896,6,-70.4,18.9
"India",39382,6,76740,6,79.7,12.7
"Philippines",39382,7,4598,5,123.4,13.4
"Vietnam",39382,5,349,3,106.7,10.8
"Democratic Republic of Congo",39380,7,1950,4,15.4,-4.4
"Brazil",39379,4,734,3,-43.4,-22.7
"Colombia",39356,71,297815,7,-74.9,7.9
"Thailand",39377,9,13139,5,99,9.7
"Vietnam",39375,28,46469,6,105.5,11
"Indonesia",39373,14,45794,6,97.2,3.5
"India",39372,8,10886,5,94,24.7
"Vietnam",39369,11,24812,5,107.8,15.9
"Tunisia",39368,4,6547,4,9.7,37
"Costa Rica",39367,15,82170,6,-85.4,11
"Spain",39367,7,5461,5,-0.4,38.5
"Haiti",39362,11,35311,6,-76.4,20.7
"Taiwan",39361,5,34615,5,121,23.8
"Algeria",39358,2,360163,6,2.3,28.8
"Vietnam",39354,14,60981,6,106.9,17.1
"Mexico",39353,4,51992,5,-97.9,20.9
"Brazil",39349,9,127363,6,-52.7,-30.3
"Algeria",39346,4,78594,5,5.8,34.9
"Costa Rica",39345,7,11460,5,-85,10.3
"India",39347,17,72008,6,86.4,20.9
"Guatemala",39347,3,2295,4,-90.5,14.6
"Slovenia",39343,3,8410,4,14,46.3
"Japan",39342,9,37903,6,125.8,38.6
"India",39341,22,90280,6,79.9,15.7
"South Korea",39341,4,7590,4,126.6,34.8
"Rwanda",39337,9,1163,4,29.4,-1.7
"Thailand",39330,67,299972,7,102.5,16.8
"Czech Republic",39331,5,66614,6,16.3,48.9
"Romania",39330,7,26860,5,27.2,45.8
"South Korea",39329,4,933,4,126.7,33.4
"Nicaragua",39329,9,152398,6,-98.5,21.8
"Somalia",39326,34,13305,6,45.4,3
"Indonesia",39327,3,5689,4,116.7,-1.1
"China",39325,3,4380,4,108.9,32.8
"Senegal",39325,21,167998,7,-14,15.5
"Chad",39319,38,454775,7,19,11.5
"Romania",39319,3,32268,5,25.6,46.8
"Liberia",39320,5,2337,4,-10.6,6.5
"China",39316,6,32591,5,104.1,27.7
"Yemen",39295,27,165109,7,45.7,15.1
"Thailand",39314,5,16270,5,99,8.9
"Philippines",39311,8,460403,7,119.9,27
"Martinique",39311,8,2562,4,-61,14.6
"USA",39310,12,1216616,7,-94.6,36.9
"Uganda",39309,78,107797,7,34.3,0.9
"Burma",39308,52,257819,7,95.2,17
"Cambodia",39304,15,61577,6,105.9,13.3
"Chad",39303,7,23497,5,15.1,9.6
"Ghana",39289,77,1695465,8,0.6,13
"Pakistan",39306,3,16541,5,74.3,36
"India",39306,6,191450,6,76.5,31.2
"Papua New Guinea",39304,12,2710,5,147.3,-6.7
"Pakistan",39304,4,190122,6,68.8,26
"China",39303,4,100077,6,118.7,36.4
"India",39302,8,133806,6,70.9,22.7
"North Korea",39302,18,31600,6,126.6,38.5
"Australia",39303,5,22713,5,147.4,-42
"Phillippines",39302,6,4113,4,121.1,14.7
"Germany",39302,5,30942,5,7.4,47.7
"Canada",39302,5,433,4,-64.4,49
"Indonesia",39291,14,1276,4,128.1,-0.6
"Mauritania",39301,30,9448,5,-11.3,16.5
