"country","began","duration","area","magnitude","x","y"
"Vanuatu",41915,9,3366,4,167,-15.3
"South Sudan",41903,21,143087,6,32.9,6.9
"China",41883,8,55272,6,108.3,30.8
"Thailand",41883,8,34449,5,100.5,16.4
"Bulgaria",41887,4,7805,4,27.5,42.6
"South Korea",41875,12,35508,6,128.4,36.1
"Panama",41869,18,22659,6,-81,8.2
"Dominican Republic",41871,16,13400,5,-69.8,19.1
"Pakistan",41883,41,253687,7,75.3,33.9
"Bangladesh",41871,20,36000,6,90.6,24.6
"USA",41861,10,11462,5,-83.3,42.5
"India",41866,25,44291,6,94.7,27.6
"Niger",41864,7,350749,6,6.4,16.3
"India",41865,26,62651,6,86.3,26.2
"Indonesia",41862,9,65177,6,107.8,-7
"China",41862,9,387775,7,114.2,25.5
"India",41862,29,107474,7,79.8,27.4
"Nepal",41863,28,55213,6,82,29
"Japan",41867,4,76117,6,136.3,35.8
"Papua New Gunea",41840,10,51770,6,143.4,-6.1
"China",41838,12,82764,6,107.5,21.5
"Russia",41842,8,224476,7,156.1,62.7
"India",41840,10,189576,6,84.1,20.8
"South Sudan",41840,51,641088,8,31,10.2
"Brazil",41823,27,44866,6,-58,-32.3
"Nepal",41821,14,11579,5,84.6,28.5
"Bangladesh",41833,2,218,3,90.5,22.3
"USA",41831,4,2951,4,-134.4,58.2
"Brazil",41781,69,256565,8,-59.6,-2.9
"Sudan",41827,8,137141,6,33.1,13.4
"New Zealand",41825,10,8581,5,174.1,-35.7
"Thailand",41831,4,15922,5,99.7,19.8
"China",41795,21,377102,7,112.4,26.4
"India",41813,3,49221,5,94.7,27.8
"Philippines",41807,9,15356,5,124.7,6.8
"USA",41800,35,418317,7,-94.8,42.7
"Bulgaria",41809,7,24415,6,27,42.9
"Paraguay",41793,42,554605,8,-53.5,-24.4
"Russia",41794,7,1829701,7,94.4,55
"Mexico",41791,10,113685,6,-94,16.6
"Iran",41791,10,305525,7,57.3,34.4
"China",41789,12,45994,6,113.3,23.3
"Sri Lanka",41794,7,10337,5,80.2,7.7
"Afghanistan",41793,8,44204,6,68,35.6
"China",41771,5,205001,6,111.5,27.4
"Tajikistan",41769,7,41719,6,69.4,38.5
"Italy",41761,9,11256,5,13,43.4
"Tanzania",41769,7,22249,5,38.9,-7.7
"Serbia",41771,5,115748,6,19.2,44.6
"Romania",41746,15,87431,6,24.5,44.1
"Tanzania",41747,14,18498,6,39,-7.2
"Afghanistan",41749,27,83722,7,66.4,35.8
"USA",41759,2,260470,6,-84.9,31.3
"USA",41730,8,82419,6,-87.6,31.9
"Argentina",41730,8,69877,6,-70.3,-38.4
"Solomon Islands",41730,8,5481,5,160.3,-9.7
"South Africa",41699,30,1037639,8,25.6,-21.5
"Australia",41722,7,250162,6,150.1,-26.2
"USA",41723,6,53221,6,-89.1,31.4
"Zimbawe",41671,58,17206,6,31.3,-21.5
"Paraguay",41695,14,6830,5,-57.6,-25.2
"Burundi",41689,20,3237,5,29.6,-4.1
"New Zealand",41701,8,1016,4,172.6,-43.5
"USA",41701,8,35,3,168.7,7.3
"Mozambique",41694,15,481908,7,31.5,-24.4
"France",41659,19,82989,6,7.1,44
"Indonesia",41647,31,35769,6,107.7,-6.6
"Australia",41672,6,426980,6,131.7,-14.3
"Zimbawe",41654,24,72462,6,28.9,-20.2
"Zimbawe",41654,24,142586,7,30.9,-17.2
"Bolivia",41649,112,381577,8,-64,-13.4
"Peru",41640,4,74145,5,-71.5,-12.4
"USA",41630,14,16070,5,-86.8,37.6
"Saint Vincent",41634,10,830,4,-61,13.9
"Brazil",41631,13,314285,7,-41.9,-19
"Indonesia",41637,7,22525,5,97.3,4.5
"United Kingdom",41635,43,126150,7,-1.5,53.3
"Thailand",41598,19,38677,6,100.4,7.2
"Cuba",41609,8,7627,5,-81.4,22.9
"Niger",41581,36,65791,6,13.2,15
"Malaysia",41609,8,106698,6,102.4,3.6
"United Kingdom",41613,4,51280,6,7.5,53.4
"Somalia",41586,12,181848,7,57.4,21.7
"Saudi Arabia",41596,2,361387,6,44.8,27.4
"Vietnam",41592,6,48985,6,107.7,15.6
"Italy",41596,2,15700,5,9,40.3
"USA",41578,11,38936,6,-98,30.7
"Philippines",41586,12,32477,6,125.1,11.4
"South Sudan",41581,17,111000,6,31.8,7.3
"India",41559,30,102661,7,85.9,24.7
"Peru",41558,4,253521,6,-76.2,-8.6
"Indonesia",41554,8,31024,6,99.7,3
"China",41555,7,41577,6,120.6,29.1
"South Sudan",41555,7,172574,6,28.8,7.7
"Philippines",41559,3,54531,6,121.2,16.6
"Thailand",41547,15,312091,7,101.7,13.1
"India",41559,3,246385,6,84.2,21.3
"Cambodia",41544,18,52283,6,105.1,12.7
"USA",41529,9,100404,6,-105.1,38
"Nigeria",41527,7,178192,6,7.6,10.5
"Romania",41528,6,7172,5,27.6,45.7
"China",41501,7,98183,6,113.7,22.8
"China",41504,4,93532,6,100.2,35.9
"Philippines",41499,9,50412,6,121.1,16.3
